Escherichia coli str. K-12 substr. MG1655, complete genome. (ncbi_taxid:511145) - 1..4641652

4511 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
3696757..3697620	-	864	NP_415416.1	dmsC	b0896			dimethyl sulfoxide reductase subunit C
3696096..3696722	+	627	NP_415417.1	ycaC	b0897			putative hydrolase YcaC
3694634..3695782	-	1149	NP_415418.1	ycaD	b0898			putative transporter YcaD
3692994..3694424	-	1431	NP_415419.2	ycaM	b0899			putative transporter YcaM
3692085..3692993	+	909	NP_415420.1	ycaN	b0900			putative DNA-binding transcriptional regulator YcaN
3691395..3691985	-	591	NP_415421.1	ycaK	b0901			putative oxidoreductase YcaK
3690573..3691313	+	741	NP_415422.1	pflA	b0902			pyruvate formate-lyase activating enzyme
3688099..3690381	+	2283	NP_415423.1	pflB	b0903			pyruvate formate-lyase
3687187..3688044	+	858	NP_415424.1	focA	b0904			formate channel FocA
3685021..3686781	+	1761	NP_415425.4	ycaO	b0905			ribosomal protein S12 methylthiotransferase accessory factor YcaO
3684199..3684891	-	693	NP_415426.1	ycaP	b0906			DUF421 domain-containing protein YcaP
3682912..3684000	-	1089	NP_415427.1	serC	b0907			phosphoserine/phosphohydroxythreonine aminotransferase
3681558..3682841	-	1284	NP_415428.1	aroA	b0908			3-phosphoshikimate 1-carboxyvinyltransferase
3680625..3681389	-	765	NP_415429.2	ycaL	b0909			periplasmic protease YcaL
3679769..3680452	-	684	NP_415430.1	cmk	b0910			cytidylate kinase
3677985..3679658	-	1674	NP_415431.1	rpsA	b0911			30S ribosomal subunit protein S1
3677541..3677825	-	285	NP_415432.1	ihfB	b0912			integration host factor subunit beta
3675069..3677333	-	2265	NP_415433.4	ycaI	b0913			metallo-beta-lactamase superfamily inner membrane protein YcaI
3673284..3675032	-	1749	NP_415434.1	msbA	b0914			ATP-binding lipopolysaccharide transport protein
3672301..3673287	-	987	NP_415435.1	lpxK	b0915			tetraacyldisaccharide 4'-kinase
3671032..3672264	-	1233	NP_415436.1	ycaQ	b0916			interstrand DNA crosslink repair glycosylase
3670798..3670980	-	183	NP_415437.1	ycaR	b0917			PF03966 family protein YcaR
3670055..3670801	-	747	NP_415438.1	kdsB	b0918			3-deoxy-manno-octulosonate cytidylyltransferase
3669008..3669901	-	894	NP_415439.1	ycbJ	b0919			putative phosphotransferase YcbJ
3668252..3669031	+	780	NP_415440.1	elyC	b0920			envelope biogenesis factor
3667331..3668116	-	786	NP_415441.1	cmoM	b0921			tRNA cmo(5)U34 methyltransferase
3666012..3667334	-	1323	NP_415442.1	mukF	b0922			chromosome partitioning protein MukF
3665327..3666031	-	705	NP_415443.2	mukE	b0923			chromosome partitioning protein MukE
3660867..3665327	-	4461	NP_415444.1	mukB	b0924			chromosome partitioning protein MukB
3658759..3660606	-	1848	NP_415445.1	ldtD	b0925			L,D-transpeptidase LdtD
3658030..3658578	-	549	NP_415446.1	mepK	b0926			peptidoglycan L,D-endopeptidase
3657356..3658003	-	648	NP_415447.1	gloC	b0927			hydroxyacylglutathione hydrolase GloC
3655944..3657134	+	1191	NP_415448.1	aspC	b0928			aspartate aminotransferase
3654671..3655759	+	1089	NP_415449.1	ompF	b0929			outer membrane porin F
3652668..3654068	+	1401	NP_415450.1	asnS	b0930			asparagine--tRNA ligase
3651297..3652499	+	1203	NP_415451.1	pncB	b0931			nicotinate phosphoribosyltransferase
3648419..3651031	-	2613	NP_415452.1	pepN	b0932			aminopeptidase N
3647609..3648376	+	768	NP_415453.1	ssuB	b0933			aliphatic sulfonate ABC transporter ATP binding subunit
3646821..3647612	+	792	NP_415454.4	ssuC	b0934			aliphatic sulfonate ABC transporter membrane subunit
3645665..3646810	+	1146	NP_415455.1	ssuD	b0935			FMNH2-dependent alkanesulfonate monooxygenase
3644709..3645668	+	960	NP_415456.4	ssuA	b0936			aliphatic sulfonate ABC transporter periplasmic binding protein
3644141..3644716	+	576	NP_415457.1	ssuE	b0937			NADPH-dependent FMN reductase
3643246..3643785	-	540	NP_415458.2	elfA	b0938			putative laminin-binding fimbrial subunit
3642462..3643163	-	702	NP_415459.1	elfD	b0939			putative fimbrial chaperone ElfD
3639837..3642437	-	2601	NP_415460.1	elfC	b0940			putative fimbrial usher protein ElfC
3638776..3639846	-	1071	NP_415461.1	elfG	b0941			putative fimbrial-like adhesin protein
3638222..3638764	-	543	NP_415462.1	ycbU	b0942			putative fimbrial protein YcbU
3637699..3638214	-	516	NP_415463.2	ycbV	b0943			putative fimbrial protein YcbV
3636996..3637706	-	711	NP_415464.4	ycbF	b0944			putative fimbrial chaperone YcbF
3635875..3636885	-	1011	NP_415465.1	pyrD	b0945			dihydroorotate dehydrogenase, type 2
3635159..3635701	-	543	NP_415466.4	zapC	b0946			cell division protein ZapC
3634053..3635162	+	1110	NP_415467.1	ycbX	b0947			6-N-hydroxylaminopurine resistance protein
3631701..3633809	-	2109	NP_415468.1	rlmL	b0948			fused 23S rRNA m(2)G2445 methyltransferase and 23S rRNA m(7)G2069 methyltransferase
3629782..3631689	-	1908	NP_415469.1	uup	b0949			ATP-binding protein Uup
3628399..3629652	-	1254	NP_415470.1	pqiA	b0950			intermembrane transport protein PqiA
3626754..3628394	-	1641	NP_415471.1	pqiB	b0951			intermembrane transport protein PqiB
3626194..3626757	-	564	NP_415472.2	pqiC	b0952			intermembrane transport lipoprotein PqiC
3625771..3625938	-	168	NP_415473.1	rmf	b0953			ribosome modulation factor
3625183..3625701	+	519	NP_415474.1	fabA	b0954			beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase
3623354..3625114	+	1761	NP_415475.1	ycbZ	b0955			putative ATP-dependent protease YcbZ
3622716..3623168	-	453	NP_415476.1	matP	b0956			macrodomain Ter protein
3621600..3622640	+	1041	NP_415477.1	ompA	b0957			outer membrane protein A
3620734..3621243	+	510	NP_415478.1	sulA	b0958			cell division inhibitor SulA
3619886..3620515	-	630	NP_415479.1	sxy	b0959			transcriptional coactivator for CRP
3617770..3619923	+	2154	NP_415480.2	yccS	b0960			putative transporter YccS
3617305..3617751	+	447	NP_415481.1	yccF	b0961			PF03733 family inner membrane protein YccF
3615128..3617182	-	2055	NP_415482.1	helD	b0962			DNA helicase IV
3614638..3615096	+	459	NP_415483.2	mgsA	b0963			methylglyoxal synthase
3613880..3614542	+	663	NP_415484.1	yccT	b0964			DUF2057 domain-containing protein YccT
3613294..3613707	-	414	NP_415485.4	yccU	b0965			putative HspQ acetyl donor
3612932..3613249	+	318	NP_415486.4	hspQ	b0966			heat shock protein HspQ
3611684..3612874	+	1191	NP_415487.4	rlmI	b0967			23S rRNA m(5)C1962 methyltransferase
3611311..3611589	-	279	NP_415488.1	yccX	b0968			acylphosphatase
3610985..3611314	+	330	NP_415489.4	tusE	b0969			sulfur transfer protein TusE
3610235..3610894	+	660	NP_415490.1	yccA	b0970			modulator of FtsH protease
3609941..3610028	+	88		serT	b0971			tRNA-Ser
3608396..3609514	-	1119	NP_415491.1	hyaA	b0972			hydrogenase 1 small subunit
3606606..3608399	-	1794	NP_415492.1	hyaB	b0973			hydrogenase 1 large subunit
3605880..3606587	-	708	NP_415493.1	hyaC	b0974			hydrogenase 1 cytochrome b subunit
3605296..3605883	-	588	NP_415494.1	hyaD	b0975			putative hydrogenase 1 maturation protease HyaD
3604901..3605299	-	399	NP_415495.1	hyaE	b0976			putative HyaA chaperone
3604047..3604904	-	858	NP_415496.1	hyaF	b0977			protein HyaF
3602369..3603913	-	1545	NP_415497.1	appC	b0978			cytochrome bd-II subunit 1
3601221..3602357	-	1137	NP_415498.1	appB	b0979			cytochrome bd-II subunit 2
3601116..3601208	-	93	YP_001165313.1	appX	b4592			cytochrome bd-II accessory subunit AppX
3599738..3601036	-	1299	NP_415500.1	appA	b0980			periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase
3597443..3599623	+	2181	NP_415501.1	etk	b0981			protein-tyrosine kinase Etk
3596977..3597423	+	447	NP_415502.4	etp	b0982			phosphotyrosine-protein phosphatase Etp
3595850..3596989	+	1140	NP_415503.1	gfcE	b0983			putative exopolysaccharide export lipoprotein GfcE
3593708..3595804	+	2097	NP_415504.1	gfcD	b0984			putative lipoprotein GfcD
3592962..3593708	+	747	NP_415505.1	gfcC	b0985			capsule biosynthesis GfcC family protein
3592321..3592965	+	645	NP_415506.1	gfcB	b0986			lipoprotein GfcB
3591909..3592214	+	306	NP_415507.2	gfcA	b0987			threonine-rich inner membrane protein GfcA
3591545..3591820	-	276	YP_588445.1	insA4	b4516			IS1 family protein InsA
3591123..3591626	-	504	NP_415508.1	insB4	b0988			IS1 family protein InsB
3590478..3590690	+	213	NP_415509.1	cspH	b0989			CspA family protein CspH
3589980..3590192	-	213	NP_415510.1	cspG	b0990			cold shock protein CspG
3589781..3589969	-	189	YP_009518761.1	ymcF	b4723			protein YmcF
3589576..3589806	-	231	NP_415511.1	ymcE	b0991			protein YmcE
3589413..3589586	-	174	YP_588446.1	gnsA	b4517			putative phosphatidylethanolamine synthesis regulator GnsA
3588291..3589364	+	1074	NP_415512.1	yccM	b0992			putative electron transport protein YccM
3585475..3588219	+	2745	NP_415513.2	torS	b0993			sensor histidine kinase TorS
3584364..3585392	-	1029	NP_415514.1	torT	b0994			periplasmic trimethylamine-N-oxide binding protein
3583699..3584391	+	693	NP_415515.1	torR	b0995			DNA-binding transcriptional dual regulator TorR
3582397..3583569	-	1173	NP_415516.1	torC	b0996			cytochrome c menaquinol dehydrogenase TorC
3579851..3582397	-	2547	NP_415517.1	torA	b0997			trimethylamine N-oxide reductase 1
3579255..3579854	-	600	NP_415518.1	torD	b0998			trimethylamine-N-oxide reductase-specific chaperone
3578798..3579103	+	306	NP_415519.1	cbpM	b0999			chaperone modulator CbpM
3577878..3578798	+	921	NP_415520.1	cbpA	b1000			curved DNA-binding protein
3576361..3577617	-	1257	NP_415521.1	yccE	b1001			uncharacterized protein YccE
3574827..3576068	-	1242	NP_415522.1	agp	b1002			glucose-1-phosphatase
3574562..3574789	+	228	NP_415523.1	yccJ	b1003			PF13993 family protein YccJ
3573945..3574541	+	597	NP_415524.1	wrbA	b1004			NAD(P)H:quinone oxidoreductase
3573399..3573572	-	174	NP_415525.2	ymdF	b4518			stress-induced bacterial acidophilic repeat motifs-containing protein YmdF
3571814..3573142	+	1329	NP_415526.4	rutG	b1006			pyrimidine:H(+) symporter
3571299..3571793	+	495	NP_415527.4	rutF	b1007			FMN reductase RutF
3570698..3571288	+	591	NP_415528.1	rutE	b1008			putative malonic semialdehyde reductase
3569888..3570688	+	801	NP_415529.1	rutD	b1009			putative aminoacrylate hydrolase RutD
3569494..3569880	+	387	NP_415530.1	rutC	b1010			3-aminoacrylate deaminase
3568790..3569482	+	693	NP_415531.2	rutB	b1011			ureidoacrylate amidohydrolase
3567642..3568790	+	1149	NP_415532.3	rutA	b1012			pyrimidine monooxygenase RutA
3566773..3567411	-	639	NP_415533.1	rutR	b1013			DNA-binding transcriptional dual regulator RutR
3562771..3566733	+	3963	NP_415534.1	putA	b1014			fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA
3562507..3562533	-	27	YP_009518762.2	ymdG	b4737			protein YmdG
3560840..3562348	-	1509	NP_415535.1	putP	b1015			proline:Na(+) symporter
3558283..3559410	-	1128	NP_415537.1	efeO	b1018			ferrous iron transport system protein EfeO
3557006..3558277	-	1272	NP_415538.1	efeB	b1019			heme-containing peroxidase/deferrochelatase
3555597..3556661	-	1065	NP_415539.1	phoH	b1020			ATP-binding protein PhoH
3555134..3555547	+	414	NP_415540.1	pgaD	b1021			poly-N-acetyl-D-glucosamine synthase subunit PgaD
3553807..3555132	+	1326	NP_415541.1	pgaC	b1022			poly-N-acetyl-D-glucosamine synthase subunit PgaC
3551796..3553814	+	2019	NP_415542.1	pgaB	b1023			poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase and beta-1,6 glycoside hydrolase
3549364..3551787	+	2424	NP_415543.1	pgaA	b1024			partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine export outer membrane porin
3547419..3548777	-	1359	NP_415544.1	dgcT	b1025			putative diguanylate cyclase DgcT
3546512..3547378	+	867	NP_415545.1	insF4	b1026			IS3 element protein InsF
3546216..3546515	+	300	NP_415546.2	insE4	b1027			IS3 element protein InsE
3544824..3545810	-	987	NP_415548.1	ycdU	b1029			uncharacterized protein YcdU
3544001..3544088	+	88		serX	b1032			tRNA-Ser
3542829..3543767	-	939	NP_415551.2	ghrA	b1033			glyoxylate/hydroxypyruvate reductase A
3542037..3542774	-	738	NP_415552.1	ycdX	b1034			zinc-binding phosphatase YcdX
3541459..3542013	-	555	NP_415553.1	ycdY	b1035			chaperone protein YcdY
3540866..3541357	-	492	NP_415554.4	ycdZ	b1036			inner membrane protein YcdZ
3539969..3540802	+	834	NP_415555.1	csgG	b1037			curli secretion channel
3539526..3539942	+	417	NP_415556.1	csgF	b1038			curli assembly component CsgF
3539112..3539501	+	390	NP_415557.1	csgE	b1039			curli assembly component CsgE
3538457..3539107	+	651	NP_415558.1	csgD	b1040			DNA-binding transcriptional dual regulator CsgD
3537247..3537702	-	456	NP_415559.1	csgB	b1041			curlin, minor subunit
3536751..3537206	-	456	NP_415560.1	csgA	b1042			curlin, major subunit
3536360..3536692	-	333	NP_415561.1	csgC	b1043			curlin chaperone
3535928..3536239	-	312	NP_415562.1	ymdA	b1044			uncharacterized protein YmdA
3535300..3535833	-	534	NP_415563.1	ymdB	b1045			2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity
3533877..3535298	-	1422	NP_415564.2	clsC	b1046			cardiolipin synthase C
3532712..3533869	+	1158	NP_415565.1	opgC	b1047			osmoregulated periplasmic glucans (OPG) biosynthesis protein C
3530783..3532318	-	1536	NP_415566.1	opgG	b1048			osmoregulated periplasmic glucans biosynthesis protein G
3528247..3530790	-	2544	NP_415567.1	opgH	b1049			osmoregulated periplasmic glucans biosynthesis protein H
3527847..3528074	-	228	NP_415568.1	yceK	b1050			DUF1375 domain-containing lipoprotein YceK
3527472..3527846	+	375	NP_415569.4	msyB	b1051			acidic protein MsyB
3526163..3527389	+	1227	NP_415571.1	mdtG	b1053			efflux pump MdtG
3525071..3525991	+	921	NP_415572.1	lpxL	b1054			lauroyl acyltransferase
3523794..3524846	-	1053	NP_415573.1	trhO	b1055			tRNA U34 hydroxylase TrhO
3523177..3523752	+	576	NP_415574.1	yceI	b1056			protein YceI
3522607..3523173	+	567	NP_415575.1	yceJ	b1057			putative cytochrome b561 YceJ
3522206..3522346	+	141	NP_415576.1	yceO	b1058			DUF2770 domain-containing protein YceO
3521067..3522185	+	1119	NP_415577.1	solA	b1059			N-methyl-L-tryptophan oxidase
3520698..3520952	+	255	NP_415578.3	bssS	b1060			regulator of biofilm formation
3520166..3520411	+	246	NP_415579.1	dinI	b1061			DNA damage-inducible protein I
3519046..3520092	+	1047	NP_415580.1	pyrC	b1062			dihydroorotase
3518380..3518940	+	561	NP_415581.1	yceB	b1063			putative lipid-binding lipoprotein YceB
3517599..3518246	+	648	NP_415582.1	grxB	b1064			reduced glutaredoxin 2
3516327..3517535	+	1209	NP_415583.4	mdtH	b1065			multidrug efflux pump MdtH
3515507..3516091	-	585	NP_415584.1	rimJ	b1066			ribosomal-protein-S5-alanine N-acetyltransferase
3514849..3515496	-	648	NP_415585.1	yceH	b1067			DUF480 domain-containing protein YceH
3513924..3514847	-	924	NP_415586.1	yceM	b1068			putative oxidoreductase YceM
3512279..3513814	-	1536	NP_415587.1	murJ	b1069			lipid II flippase MurJ
3511823..3512239	+	417	NP_415588.1	flgN	b1070			flagellar biosynthesis protein FlgN
3511525..3511818	+	294	NP_415589.1	flgM	b1071			anti-sigma factor for FliA (sigma(28))
3510790..3511449	+	660	NP_415590.1	flgA	b1072			flagellar basal body P-ring formation protein FlgA
3510219..3510635	-	417	NP_415591.1	flgB	b1073			flagellar basal-body rod protein FlgB
3509811..3510215	-	405	NP_415592.1	flgC	b1074			flagellar basal-body rod protein FlgC
3509104..3509799	-	696	NP_415593.1	flgD	b1075			flagellar biosynthesis, initiation of hook assembly
3507871..3509079	-	1209	NP_415594.1	flgE	b1076			flagellar hook protein FlgE
3507096..3507851	-	756	NP_415595.1	flgF	b1077			flagellar basal-body rod protein FlgF
3506142..3506924	-	783	NP_415596.1	flgG	b1078			flagellar basal-body rod protein FlgG
3505391..3506089	-	699	NP_415597.1	flgH	b1079			flagellar L-ring protein
3504282..3505379	-	1098	NP_415598.3	flgI	b1080			flagellar P-ring protein
3503341..3504282	-	942	NP_415599.1	flgJ	b1081			putative peptidoglycan hydrolase FlgJ
3501632..3503275	-	1644	NP_415600.1	flgK	b1082			flagellar hook-filament junction protein 1
3500667..3501620	-	954	NP_415601.1	flgL	b1083			flagellar hook-filament junction protein 2
3500590..3500667	-	78		flgO	b4826			small RNA FlgO
3497286..3500471	+	3186	NP_415602.1	rne	b1084			ribonuclease E
3496831..3497151	-	321	NP_415603.2	yceQ	b1085			DUF2655 domain-containing protein YceQ
3495754..3496713	-	960	NP_415604.1	rluC	b1086			23S rRNA pseudouridine(955/2504/2580) synthase
3495058..3495642	+	585	NP_415605.2	yceF	b1087			m(7)GTP pyrophosphatase
3494896..3495064	-	169		sraB	b4418			small RNA SraB
3494338..3494859	-	522	NP_415606.1	yceD	b1088			DUF177 domain-containing protein YceD
3494113..3494286	-	174	NP_415607.1	rpmF	b1089			50S ribosomal subunit protein L32
3492962..3494032	-	1071	NP_415608.2	plsX	b1090			putative phosphate acyltransferase
3491941..3492894	-	954	NP_415609.1	fabH	b1091			3-oxoacyl-[acyl carrier protein] synthase 3
3490996..3491925	-	930	NP_415610.1	fabD	b1092			[acyl-carrier-protein] S-malonyltransferase
3490249..3490983	-	735	NP_415611.1	fabG	b1093			3-oxoacyl-[acyl-carrier-protein] reductase FabG
3489802..3490038	-	237	NP_415612.1	acpP	b1094			acyl carrier protein
3488473..3489714	-	1242	NP_415613.1	fabF	b1095			3-oxoacyl-[acyl carrier protein] synthase 2
3487544..3488353	-	810	NP_415614.1	pabC	b1096			aminodeoxychorismate lyase
3486519..3487541	-	1023	NP_415615.1	mltG	b1097			endolytic murein transglycosylase
3485888..3486529	-	642	NP_415616.1	tmk	b1098			Tmk
3484887..3485891	-	1005	NP_415617.1	holB	b1099			DNA polymerase III subunit delta'
3484079..3484876	-	798	NP_415618.1	ycfH	b1100			putative metal-dependent hydrolase YcfH
3482351..3483784	-	1434	NP_415619.1	ptsG	b1101			glucose-specific PTS enzyme IIBC component
3480102..3482291	+	2190	NP_415620.1	fhuE	b1102			ferric coprogen/ferric rhodotorulic acid outer membrane transporter
3479409..3479768	-	360	NP_415621.3	hinT	b1103			purine nucleoside phosphoramidase
3479029..3479406	-	378	NP_415622.1	ycfL	b1104			DUF1425 domain-containing protein YcfL
3478374..3479015	-	642	NP_415623.1	lpoB	b1105			outer membrane lipoprotein - activator of MrcB activity
3477569..3478393	-	825	NP_415624.1	thiK	b1106			thiamine kinase
3476533..3477558	-	1026	NP_415625.1	nagZ	b1107			beta-N-acetylglucosaminidase
3475968..3476510	-	543	NP_415626.4	ycfP	b1108			PF05728 family protein YcfP
3474264..3475568	-	1305	NP_415627.1	ndh	b1109			NADH:quinone oxidoreductase II
3473515..3474054	-	540	NP_415628.1	ycfJ	b1110			PF05433 family protein YcfJ
3472821..3473453	+	633	NP_415629.4	comR	b1111			DNA-binding transcriptional repressor ComR
3472323..3472580	-	258	NP_415630.1	bhsA	b1112			DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA
3472251..3472350	-	100		bhsB	b4832			small RNA BhsB
3471279..3472241	+	963	NP_415631.1	ldtC	b1113			L,D-transpeptidase LdtC
3467689..3471135	+	3447	NP_415632.1	mfd	b1114			transcription-repair coupling factor
3466488..3467561	+	1074	NP_415633.1	ycfT	b1115			inner membrane protein YcfT
3465027..3466226	-	1200	NP_415634.1	lolC	b1116			lipoprotein release complex - inner membrane subunit
3464333..3465034	-	702	NP_415635.4	lolD	b1117			lipoprotein release complex - ATP binding subunit
3463089..3464333	-	1245	NP_415636.1	lolE	b1118			lipoprotein release complex - inner membrane subunit
3462149..3463060	-	912	NP_415637.1	nagK	b1119			N-acetyl-D-glucosamine kinase
3461294..3462133	-	840	NP_415638.3	cobB	b1120			protein-lysine deacetylase/desuccinylase/lipoamidase
3460386..3461174	+	789	NP_415639.1	ycfZ	b1121			putative inner membrane protein YcfZ
3459928..3460389	+	462	NP_415640.2	ymfA	b1122			putative inner membrane protein YmfA
3458824..3459870	+	1047	NP_415641.1	potD	b1123			spermidine preferential ABC transporter periplasmic binding protein
3458033..3458827	+	795	NP_415642.1	potC	b1124			spermidine preferential ABC transporter membrane subunit PotC
3457209..3458036	+	828	NP_415643.3	potB	b1125			spermidine preferential ABC transporter membrane subunit PotB
3456059..3457195	+	1137	NP_415644.1	potA	b1126			spermidine preferential ABC transporter ATP binding subunit
3454583..3455809	-	1227	NP_415645.1	pepT	b1127			peptidase T
3453413..3454534	+	1122	NP_415646.4	roxA	b1128			50S ribosomal protein L16-arginine 3-hydroxylase
3451877..3453337	+	1461	NP_415647.1	phoQ	b1129			sensor histidine kinase PhoQ
3451206..3451877	+	672	NP_415648.1	phoP	b1130			DNA-binding transcriptional dual regulator PhoP
3449667..3451037	+	1371	NP_415649.1	purB	b1131			adenylosuccinate lyase
3449022..3449663	+	642	NP_415650.1	hflD	b1132			lysogenization regulator
3447880..3448986	+	1107	NP_415651.4	mnmA	b1133			tRNA-specific 2-thiouridylase
3447365..3447826	+	462	NP_415652.1	nudJ	b1134			phosphatase NudJ
3446702..3447355	+	654	NP_415653.4	rluE	b1135			23S rRNA pseudouridine(2457) synthase
3445280..3446530	-	1251	NP_415654.1	icd	b1136			isocitrate dehydrogenase
3444871..3444942	-	72		C0293	b4806			small regulatory RNA C0293
3444121..3444786	+	666	NP_415655.1	ymfD	b1137			putative SAM-dependent methyltransferase YmfD
3443416..3444120	+	705	NP_415656.1	ymfE	b1138			uncharacterized protein YmfE
3442065..3442958	-	894	NP_415657.1	lit	b1139			cell death peptidase Lit
3440847..3441974	+	1128	NP_415658.1	intE	b1140			putative integrase
3440621..3440866	+	246	NP_415659.1	xisE	b1141			putative excisionase
3440273..3440584	+	312	YP_009518763.1	ymfH	b1142			putative protein YmfH
3439815..3440156	-	342	NP_415661.2	ymfI	b1143			uncharacterized protein YmfI
3439569..3439877	+	309	NP_415662.2	ymfJ	b1144			uncharacterized protein YmfJ
3438720..3439394	+	675	NP_415663.1	ymfK	b1145			putative repressor protein YmfK
3438429..3438629	-	201	NP_415664.2	ymfT	b1146			putative DNA-binding transcriptional regulator YmfT
3437828..3438385	-	558	NP_415665.2	ymfL	b1147			uncharacterized protein YmfL
3437493..3437831	-	339	NP_415666.1	ymfM	b1148			cell division inhibitor YmfM
3436116..3437483	-	1368	YP_009518764.1	ymfN	b1149			chimeric replication protein/phage terminase YmfN
3435922..3436104	-	183	NP_415668.1	ymfR	b1150			IPR020297 domain-containing protein YmfR
3435449..3435922	-	474	YP_009518765.1	beeE	b1151			protein BeeE
3434156..3434740	-	585	NP_415671.1	ymfQ	b1153			DUF2313 domain-containing protein YmfQ
3433523..3434152	-	630	NP_415672.1	ycfK	b1154			protein StfP
3433108..3433521	-	414	NP_415673.1	tfaP	b1155			putative tail fiber assembly protein TfaP
3432534..3433136	+	603	NP_415674.1	tfaE	b1156			putative tail fiber assembly protein TfaE
3431414..3431968	-	555	NP_415676.1	pinE	b1158			site-specific DNA recombinase
3430474..3431307	-	834	NP_415677.1	mcrA	b1159			Type IV methyl-directed restriction enzyme EcoKMcrA
3429650..3429973	+	324	NP_415678.1	iraM	b1160			anti-adaptor protein IraM
3429349..3429393	+	45	YP_009518766.1	ymgK	b4738			protein YmgK
3429003..3429113	+	111	YP_009518767.1	ymgL	b4739			protein YmgL
3428546..3428950	+	405	NP_415679.1	ycgX	b1161			DUF1398 domain-containing protein YcgX
3427594..3428325	+	732	NP_415680.1	bluR	b1162			DNA-binding transcriptional repressor BluR
3426178..3427389	+	1212	NP_415681.1	bluF	b1163			blue light- and temperature-regulated antirepressor BluF
3425628..3425864	-	237	NP_415682.1	ycgZ	b1164			putative two-component system connector protein YcgZ
3425313..3425585	-	273	NP_415683.1	ymgA	b1165			putative two-component system connector protein YmgA
3425018..3425284	-	267	NP_415684.1	ariR	b1166			putative two-component system connector protein AriR
3424657..3424905	-	249	NP_415685.1	ymgC	b1167			protein YmgC
3422802..3424325	-	1524	NP_415686.2	pdeG	b1168			putative c-di-GMP phosphodiesterase PdeG
3422452..3422670	-	219	YP_588447.1	ymgF	b4520			inner membrane protein YmgF
3419019..3419348	+	330	NP_415689.2	ymgD	b1171			PF16456 family protein YmgD
3418665..3419009	+	345	NP_415690.5	ymgG	b1172			PF13436 family protein YmgG
3418490..3418663	+	174	YP_001165314.1	ymgI	b4593			uncharacterized protein YmgI
3418204..3418389	-	186	YP_001165315.1	ymgJ	b4594			uncharacterized protein YmgJ
3417108..3417374	+	267	NP_415692.1	minE	b1174			Z-ring positioning protein MinE
3416292..3417104	+	813	NP_415693.1	minD	b1175			Z-ring positioning protein MinD
3415573..3416268	+	696	NP_415694.1	minC	b1176			Z-ring positioning protein MinC
3414685..3415053	-	369	NP_415695.1	ycgJ	b1177			PF05666 family protein YcgJ
3414181..3414582	+	402	NP_415696.1	pliG	b1178			inhibitor of g-type lysozyme
3414226..3414285	-	60	YP_010283909.1	ymgN	b4816			protein YmgN
3413646..3413972	-	327	NP_415697.5	ycgL	b1179			PF05166 family protein YcgL
3412915..3413574	-	660	NP_415698.1	ycgM	b1180			putative isomerase/hydrolase
3412377..3412838	-	462	NP_415699.5	ycgN	b1181			putative metal-chelating domain-containing protein YcgN
3411259..3412170	+	912	NP_415700.4	hlyE	b1182			hemolysin E
3410467..3410886	-	420	NP_415701.1	umuD	b1183			DNA polymerase V protein UmuD
3409199..3410467	-	1269	NP_415702.1	umuC	b1184			DNA polymerase V catalytic protein
3408623..3409153	+	531	NP_415703.3	dsbB	b1185			protein thiol:quinone oxidoreductase DsbB
3406936..3408477	+	1542	NP_415704.1	nhaB	b1186			Na(+):H(+) antiporter NhaB
3405996..3406715	-	720	NP_415705.1	fadR	b1187			DNA-binding transcriptional dual regulator FadR
3404412..3405944	+	1533	NP_415706.1	ycgB	b1188			PF04293 family protein YcgB
3402784..3404082	-	1299	NP_415707.1	dadA	b1189			D-amino acid dehydrogenase
3401704..3402774	-	1071	NP_415708.1	dadX	b1190			alanine racemase 2
3401190..3401393	-	204	YP_009518768.1	ymgM	b4740			protein YmgM
3399582..3401318	+	1737	NP_415709.2	cvrA	b1191			putative K(+):H(+) antiporter
3398573..3399487	+	915	NP_415710.1	ldcA	b1192			murein tetrapeptide carboxypeptidase
3397862..3398473	-	612	NP_415711.2	emtA	b1193			lytic murein transglycosylase E
3397126..3397860	+	735	NP_415712.1	ycgR	b1194			flagellar brake protein YcgR
3396671..3396925	-	255	NP_415713.1	ymgE	b1195			PF04226 family protein YmgE
3396053..3396493	-	441	NP_415714.1	ycgY	b1196			uncharacterized protein YcgY
3394277..3395974	+	1698	NP_415715.1	treA	b1197			periplasmic trehalase
3392539..3393957	+	1419	NP_415716.4	dhaM	b1198			dihydroxyacetone kinase subunit M
3391896..3392528	+	633	NP_415717.1	dhaL	b1199			dihydroxyacetone kinase subunit L
3390815..3391885	+	1071	NP_415718.6	dhaK	b1200			dihydroxyacetone kinase subunit K
3388668..3390587	-	1920	NP_415719.2	dhaR	b1201			DNA-binding transcriptional dual regulator DhaR
3385701..3388568	+	2868	NP_415720.1	ycgV	b1202			putative autotransporter adhesin YcgV
